market,selection,bucket_type,bucket,sample_count,hit_rate,avg_odds,roi,max_losing_streak,max_drawdown,league_distribution,season_distribution,positive_roi_bucket,phase5_reject_reason,stability_status,stability_reject_reasons,watchlist_reasons,research_only,recommendation_generated,official_written,pending_written,qq_written
1X2,away,closing_fair_probability,MISSING,1,0,1.91,-1,1,-1,"{""N1"": 1}","{""2022/23"": 1}",NO,SMALL_SAMPLE|CONCENTRATION_RISK,REJECT_CONCENTRATION|REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_CONCENTRATION|REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,-0.25,1379,0.426396,1.947215,-0.016178,9,-0.035954,"{""B1"": 233, ""N1"": 202, ""P1"": 336, ""SC0"": 207, ""T1"": 401}","{""2020/21"": 274, ""2021/22"": 293, ""2022/23"": 276, ""2023/24"": 301, ""2024/25"": 235}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,-0.50,906,0.492274,1.942274,-0.044724,8,-0.053543,"{""B1"": 163, ""N1"": 156, ""P1"": 182, ""SC0"": 142, ""T1"": 263}","{""2020/21"": 166, ""2021/22"": 196, ""2022/23"": 186, ""2023/24"": 181, ""2024/25"": 177}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,-0.75,617,0.614263,1.927812,0.060024,7,-0.021386,"{""B1"": 161, ""N1"": 119, ""P1"": 78, ""SC0"": 95, ""T1"": 164}","{""2020/21"": 117, ""2021/22"": 119, ""2022/23"": 109, ""2023/24"": 122, ""2024/25"": 150}",YES,NONE,WATCHLIST_RESEARCH_ONLY,NONE,WATCH_LOW_SAMPLE_MARGIN,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,-1.00,411,0.333333,1.936691,-0.073942,4,-0.091022,"{""B1"": 127, ""N1"": 93, ""P1"": 46, ""SC0"": 38, ""T1"": 107}","{""2020/21"": 88, ""2021/22"": 89, ""2022/23"": 74, ""2023/24"": 79, ""2024/25"": 81}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,-1.25,287,0.439024,1.940592,-0.029024,9,-0.055854,"{""B1"": 72, ""N1"": 75, ""P1"": 45, ""SC0"": 19, ""T1"": 76}","{""2020/21"": 64, ""2021/22"": 66, ""2022/23"": 49, ""2023/24"": 44, ""2024/25"": 64}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,-1.50,266,0.484962,1.934286,-0.068195,7,-0.081391,"{""B1"": 65, ""N1"": 70, ""P1"": 54, ""SC0"": 27, ""T1"": 50}","{""2020/21"": 62, ""2021/22"": 45, ""2022/23"": 56, ""2023/24"": 51, ""2024/25"": 52}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,-1.75,183,0.584699,1.927213,0.031776,4,-0.043607,"{""B1"": 25, ""N1"": 51, ""P1"": 54, ""SC0"": 27, ""T1"": 26}","{""2020/21"": 30, ""2021/22"": 30, ""2022/23"": 33, ""2023/24"": 55, ""2024/25"": 35}",YES,SMALL_SAMPLE,REJECT_SMALL_SAMPLE,REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,0.00,921,0.346363,1.923811,-0.043214,5,-0.055201,"{""B1"": 168, ""N1"": 137, ""P1"": 210, ""SC0"": 141, ""T1"": 265}","{""2020/21"": 206, ""2021/22"": 198, ""2022/23"": 181, ""2023/24"": 157, ""2024/25"": 179}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,0.25,763,0.576671,1.891166,-0.035603,6,-0.060315,"{""B1"": 197, ""N1"": 141, ""P1"": 116, ""SC0"": 112, ""T1"": 197}","{""2020/21"": 184, ""2021/22"": 153, ""2022/23"": 133, ""2023/24"": 151, ""2024/25"": 142}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,0.50,386,0.502591,1.915233,-0.033627,8,-0.063187,"{""B1"": 119, ""N1"": 77, ""P1"": 53, ""SC0"": 51, ""T1"": 86}","{""2020/21"": 105, ""2021/22"": 64, ""2022/23"": 73, ""2023/24"": 64, ""2024/25"": 80}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,0.75,269,0.3829,1.923457,-0.107138,10,-0.139071,"{""B1"": 86, ""N1"": 62, ""P1"": 41, ""SC0"": 18, ""T1"": 62}","{""2020/21"": 64, ""2021/22"": 58, ""2022/23"": 42, ""2023/24"": 53, ""2024/25"": 52}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,1.00,232,0.314655,1.913793,-0.121207,4,-0.121207,"{""B1"": 54, ""N1"": 64, ""P1"": 47, ""SC0"": 28, ""T1"": 39}","{""2020/21"": 63, ""2021/22"": 35, ""2022/23"": 43, ""2023/24"": 45, ""2024/25"": 46}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,1.25,187,0.561497,1.904813,-0.053235,4,-0.083021,"{""B1"": 24, ""N1"": 43, ""P1"": 64, ""SC0"": 30, ""T1"": 26}","{""2020/21"": 32, ""2021/22"": 33, ""2022/23"": 41, ""2023/24"": 43, ""2024/25"": 38}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,1.50,164,0.5,1.899146,-0.051037,5,-0.074085,"{""B1"": 14, ""N1"": 33, ""P1"": 62, ""SC0"": 45, ""T1"": 10}","{""2020/21"": 30, ""2021/22"": 35, ""2022/23"": 32, ""2023/24"": 38, ""2024/25"": 29}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,1.75,86,0.395349,1.910349,-0.101279,9,-0.135116,"{""B1"": 4, ""N1"": 25, ""P1"": 25, ""SC0"": 25, ""T1"": 7}","{""2020/21"": 13, ""2021/22"": 13, ""2022/23"": 21, ""2023/24"": 27, ""2024/25"": 12}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,<=-2.00,416,0.396635,1.952885,-0.064363,7,-0.078642,"{""B1"": 26, ""N1"": 137, ""P1"": 102, ""SC0"": 103, ""T1"": 48}","{""2020/21"": 46, ""2021/22"": 79, ""2022/23"": 93, ""2023/24"": 103, ""2024/25"": 95}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,>=2.00,100,0.48,1.9113,0.0564,4,-0.0674,"{""B1"": 4, ""N1"": 45, ""P1"": 15, ""SC0"": 30, ""T1"": 6}","{""2020/21"": 21, ""2021/22"": 18, ""2022/23"": 17, ""2023/24"": 18, ""2024/25"": 26}",YES,SMALL_SAMPLE,REJECT_SMALL_SAMPLE,REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
AH,home_handicap,closing_line,MISSING,0,0,0,0,0,0,{},{},NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,over25,closing_fair_probability,0.2-0.3,9,0.444444,3.222222,0.422222,2,-0.222222,"{""P1"": 1, ""SC0"": 8}","{""2020/21"": 1, ""2021/22"": 7, ""2024/25"": 1}",YES,SMALL_SAMPLE|HIGH_DRAWDOWN_RISK|CONCENTRATION_RISK,REJECT_CONCENTRATION|REJECT_HIGH_DRAWDOWN|REJECT_SMALL_SAMPLE,REJECT_CONCENTRATION|REJECT_HIGH_DRAWDOWN|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,over25,closing_fair_probability,0.3-0.4,401,0.356608,2.544888,-0.094289,19,-0.110798,"{""B1"": 2, ""N1"": 5, ""P1"": 211, ""SC0"": 162, ""T1"": 21}","{""2020/21"": 111, ""2021/22"": 113, ""2022/23"": 74, ""2023/24"": 36, ""2024/25"": 67}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
OU25,over25,closing_fair_probability,0.4-0.5,2490,0.450201,2.084823,-0.064622,14,-0.07045,"{""B1"": 309, ""N1"": 267, ""P1"": 744, ""SC0"": 523, ""T1"": 647}","{""2020/21"": 527, ""2021/22"": 544, ""2022/23"": 457, ""2023/24"": 461, ""2024/25"": 501}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
OU25,over25,closing_fair_probability,0.5-0.6,3102,0.553514,1.71637,-0.052808,9,-0.053665,"{""B1"": 900, ""N1"": 733, ""P1"": 381, ""SC0"": 231, ""T1"": 857}","{""2020/21"": 654, ""2021/22"": 604, ""2022/23"": 604, ""2023/24"": 646, ""2024/25"": 594}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
